item: ('i5', ' i22') , 0.020
item: (' i10', 'i2') , 0.020
item: ('i4', ' i17') , 0.020
item: (' i8', ' i24') , 0.020
item: (' i29', ' i7') , 0.020
item: ('i5', ' i23') , 0.020
item: ('i5', ' i6') , 0.020
item: (' i26', ' i16') , 0.020
item: ('i1', ' i16') , 0.020
item: (' i8', ' i23') , 0.020
item: (' i26', ' i19') , 0.020
item: (' i26', 'i5') , 0.020
item: (' i11', ' i28') , 0.020
item: ('i6', ' i20') , 0.020
item: (' i29', ' i20') , 0.020
item: ('i1', ' i3') , 0.020
item: (' i26', ' i11') , 0.020
item: (' i10', 'i3') , 0.020
item: ('i8', ' i15') , 0.020
item: (' i26', ' i17') , 0.020
item: (' i18', 'i3') , 0.020
item: ('i3', ' i23', ' i15') , 0.020
item: (' i9', 'i3', ' i23') , 0.020
item: (' i23', ' i25', ' i16') , 0.020
item: (' i5',) , 0.023
item: (' i26', ' i18') , 0.023
item: (' i22', ' i28') , 0.023
item: (' i24', ' i14') , 0.023
item: (' i11', ' i21') , 0.023
item: (' i8', 'i3') , 0.023
item: (' i18', ' i24') , 0.023
item: ('i3', ' i16') , 0.023
item: (' i30', 'i6') , 0.023
item: (' i30', ' i7') , 0.023
item: (' i12', ' i23') , 0.023
item: (' i11', ' i22') , 0.023
item: (' i18', ' i23') , 0.023
item: (' i30', 'i7') , 0.023
item: (' i23', 'i4') , 0.023
item: (' i13', ' i24') , 0.023
item: ('i5', ' i21') , 0.023
item: (' i12', ' i17') , 0.023
item: (' i25', ' i23', ' i15') , 0.023
item: (' i25', ' i23', ' i17') , 0.023
item: ('i1', ' i9', ' i23') , 0.023
item: (' i12', 'i4') , 0.025
item: (' i13', ' i15') , 0.025
item: ('i5', ' i7') , 0.025
item: (' i19', ' i23') , 0.025
item: ('i1', ' i11') , 0.025
item: ('i1', ' i24') , 0.025
item: ('i5', ' i30') , 0.025
item: (' i30', ' i28') , 0.025
item: (' i26', ' i20') , 0.025
item: ('i3', ' i14') , 0.025
item: ('i8', ' i23') , 0.025
item: ('i5', ' i29') , 0.025
item: (' i9', ' i24') , 0.025
item: (' i11', 'i5') , 0.025
item: (' i25', 'i2') , 0.025
item: (' i24', ' i23', ' i15') , 0.025
item: (' i10', ' i16', ' i25') , 0.025
item: (' i26', ' i23') , 0.028
item: (' i23', ' i21') , 0.028
item: (' i24', ' i16') , 0.028
item: ('i1', ' i15') , 0.028
item: (' i9', 'i3') , 0.028
item: ('i1', ' i10') , 0.028
item: ('i2', ' i23') , 0.028
item: (' i11', ' i20') , 0.028
item: (' i9', ' i23', ' i15') , 0.028
item: (' i25', ' i14') , 0.030
item: (' i30', ' i22') , 0.030
item: (' i25', ' i11') , 0.030
item: (' i24', ' i17') , 0.030
item: ('i9',) , 0.033
item: ('i12',) , 0.033
item: (' i13', 'i3') , 0.033
item: (' i28', ' i20') , 0.033
item: (' i11', ' i30') , 0.033
item: ('i11',) , 0.035
item: ('i8',) , 0.035
item: (' i4',) , 0.035
item: ('i1', ' i9') , 0.035
item: (' i13', ' i25') , 0.035
item: (' i11', ' i23') , 0.035
item: ('i1', ' i25') , 0.035
item: (' i30', ' i20') , 0.035
item: (' i9', ' i25') , 0.035
item: (' i10', ' i16') , 0.038
item: ('i1', ' i2') , 0.038
item: ('i3', ' i15') , 0.040
item: (' i9', ' i15') , 0.040
item: (' i3',) , 0.043
item: ('i3', ' i24') , 0.043
item: (' i10', ' i25') , 0.043
item: (' i25', ' i15') , 0.043
item: (' i25', 'i3') , 0.043
item: (' i23', ' i14') , 0.045
item: (' i25', ' i17') , 0.045
item: (' i2',) , 0.048
item: (' i6',) , 0.051
item: (' i8',) , 0.053
item: (' i27',) , 0.053
item: (' i9', ' i23') , 0.053
item: ('i3', ' i23') , 0.053
item: ('i1', ' i23') , 0.053
item: (' i16', ' i23') , 0.056
item: (' i13', ' i23') , 0.056
item: (' i23', ' i17') , 0.056
item: (' i25', ' i16') , 0.058
item: ('i6',) , 0.063
item: ('i7',) , 0.063
item: (' i24', ' i15') , 0.063
item: (' i24', ' i23') , 0.066
item: ('i4',) , 0.071
item: (' i19',) , 0.071
item: (' i28',) , 0.071
item: (' i21',) , 0.076
item: (' i7',) , 0.076
item: (' i18',) , 0.076
item: (' i23', ' i15') , 0.078
item: ('i2',) , 0.081
item: (' i14',) , 0.083
item: (' i25', ' i23') , 0.083
item: (' i29',) , 0.086
item: (' i12',) , 0.086
item: (' i22',) , 0.091
item: (' i13',) , 0.098
item: (' i9',) , 0.098
item: (' i20',) , 0.101
item: ('i5',) , 0.109
item: (' i10',) , 0.111
item: (' i30',) , 0.119
item: (' i17',) , 0.126
item: (' i16',) , 0.126
item: (' i26',) , 0.129
item: (' i11',) , 0.131
item: ('i3',) , 0.134
item: ('i1',) , 0.139
item: (' i15',) , 0.154
item: (' i24',) , 0.182
item: (' i25',) , 0.212
item: (' i23',) , 0.311

------------------------ RULES:
Rule: (' i25',) ==> (' i23', ' i15') , 0.107
Rule: (' i25',) ==> (' i23', ' i17') , 0.107
Rule: (' i24',) ==> (' i8',) , 0.111
Rule: (' i23',) ==> (' i11',) , 0.114
Rule: (' i25',) ==> ('i2',) , 0.119
Rule: (' i25',) ==> (' i10', ' i16') , 0.119
Rule: (' i24',) ==> (' i14',) , 0.125
Rule: (' i24',) ==> (' i18',) , 0.125
Rule: (' i24',) ==> (' i13',) , 0.125
Rule: (' i15',) ==> ('i8',) , 0.131
Rule: (' i15',) ==> ('i3', ' i23') , 0.131
